Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
C Scheme,On The Way,"5th Floor, Hotel While Lily, Diggy Palace Road, C Scheme, Jaipur",Casual Dining,700,"North Indian, Italian, Continental, Chinese, Beverages",3.7,95,26.909902399999996,75.8124713
C Scheme,House Of Bunkins-HOBS,"A/4B, 2nd Floor, Chittora House, Opposite Udyog Bhawan, Tilak Marg, C Scheme, Jaipur",Café,550,"Cafe, Fast Food",3.6,124,26.9013308,75.79702270000001
C Scheme,My Froyoland,"G-5A, City Mall, Bhagwan Das Road, C Scheme, Jaipur",Dessert Parlor,200,"Frozen Yogurt, Desserts",4.0,105,26.914312199999998,75.8082551
C Scheme,Fabcafe By Fabindia,"GT Galleria, Ashok Road, Ashok Nagar, C Scheme, Jaipur",Café,1200,"Healthy Food, North Indian, Desserts, Beverages",3.8,64,26.914259299999998,75.8069021
C Scheme,The Polo Bar - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",Bar,4100,Finger Food,3.9,116,26.898359999999997,75.808433
C Scheme,Keventers - The Original Milkshake,"Plot 25, Yudhister Marg, Near Deer Park, C Scheme, Jaipur","Beverage Shop, Dessert Parlor",400,"Beverages, Desserts, Ice Cream",3.9,123,26.9040848,75.7970953
C Scheme,Bharat Bits N Bites,"J 4, Ramesh Marg, Subhash Marg Road, C Scheme, Jaipur",Quick Bites,350,"Chinese, Street Food, Fast Food",3.9,118,26.906381099999997,75.7963704
C Scheme,Gangaur Sweets,"J32, Subhash Marg, Near Bagadia Bhawan, C Scheme, Jaipur",Sweet Shop,100,Mithai,3.7,115,26.9076255,75.7988088
C Scheme,Jaipur Down Town,"Plot O-10, Oyo Townhouse, Ashok Marg, Opposite Green House, Ahinsa Circle, C Scheme, Jaipur",Casual Dining,700,"North Indian, Chinese, Fast Food",3.8,52,26.915141499999997,75.8039689
C Scheme,Mama Fu,"A-5, Ground Floor, Suryavanshi Pearl, Chomu House, Sardar Patal Marg, C Scheme, Jaipur",Casual Dining,1000,"Chinese, Asian, Sushi",4.2,73,26.911061199999995,75.79522159999998
C Scheme,Urban Choolah,"Shop 6, Mahaveer Marg, Opposite Mahaveer College, C Scheme, Jaipur",Quick Bites,450,"Chinese, North Indian",3.9,112,26.9091522,75.8102143
C Scheme,Get Desserted,"F 31, Azad Marg, Ashok Nagar, C Scheme, Jaipur",Dessert Parlor,350,"Desserts, Ice Cream, Beverages",3.9,65,26.907394699999998,75.7954728
C Scheme,Liquido,"F-55, Jamnalal Bajaj Marg, C Scheme, Jaipur",,500,"Healthy Food, Beverages",3.8,87,26.906737,75.7962
C Scheme,Pasta Cucina,"D 29, Subhash Marg, Panch Batti, Ashok Nagar, C Scheme, Jaipur",Quick Bites,500,"Italian, Fast Food, Beverages",4.3,97,26.911092,75.802024
C Scheme,Bistro Quaint,"A2, Hermosa Design Studio, Jamnalal Bajaj Marg, C Scheme, Jaipur",Café,1200,"Cafe, Continental",3.8,81,26.908639,75.79111800000001
C Scheme,Blitz Krieg,"5th Floor, Axis Mall, Bhagwan Das Road, C Scheme, Jaipur","Casual Dining, Pub",1600,"Continental, North Indian, Fast Food, American",3.6,108,26.9105566,75.8073376
C Scheme,Pan N Grill Cafe,"Trimurti Mall, Ahinsa Circle, C Scheme, Jaipur",Quick Bites,200,"Fast Food, Street Food, Sandwich, Beverages",3.6,118,26.9143625,75.80499420000001
C Scheme,Fruits On Desk,"F-82, Chaitanya Marg, Ashok Nagar, C Scheme, Jaipur",,150,Healthy Food,3.8,107,26.9094966,75.7984996
C Scheme,Ombre,"Quarter 2, Sardar Patel Marg, Ashok Nagar, C Scheme, Jaipur",Bakery,400,"Bakery, Desserts",4.1,46,26.904533899999997,75.7938623
C Scheme,Sandwiches And Shakes,"C-20, Bhagwan Das Road, Near Rajmandir Cinema, C Scheme, Jaipur",,150,Fast Food,3.6,94,26.915498499999998,75.81016389999998
C Scheme,Baskin Robbins,"Ground Floor, Crystal Palm Mall, Sardar Patel Road, Bais Godam, Jaipur",Dessert Parlor,300,"Ice Cream, Desserts, Beverages",3.7,72,26.9033294,75.7928005
C Scheme,Masquerade By Mystery Rooms,"J 50-B, Sarojini Marg, C Scheme, Jaipur",Casual Dining,1000,"Continental, Modern Indian",4.2,36,26.9095885,75.80274990000001
C Scheme,Mamu's Cafe,"Shop 5, Mahaveer Marg, Opposite Mahaveer School, C Scheme, Jaipur",Quick Bites,350,"Chinese, Fast Food, Beverages",3.7,78,26.913215299999997,75.80295799999998
C Scheme,Daily Nutrition Diet - DND,"F 31, Azad Marg, C Scheme, Jaipur",,400,"Healthy Food, Beverages",3.7,63,26.907371,75.795551
C Scheme,Kitchen Zayka,"B 16, Bhawani Singh Road, C Scheme, Jaipur",Casual Dining,600,"North Indian, Rajasthani, Chinese",3.7,68,26.902586,75.79434599999998
C Scheme,Williams FnB,"Shop 3, Near Ahinsa Circle, Subhash Marg, C Scheme, Jaipur",,400,"Fast Food, Pizza, Beverages",3.6,95,26.913218199999996,75.8028157
C Scheme,The Firangi Chicken,"D-8, Shiv Heera Path, Mission Compound, Chomu House Circle, C Scheme, Jaipur",Quick Bites,600,"North Indian, Fast Food, Chinese",3.8,88,26.8519814,75.81170209999998
C Scheme,Tahir Bhai Biryani Wale,"A-410, Azad Marg, C Scheme, Jaipur",,250,"Biryani, North Indian",3.7,78,26.908630600000006,75.79624940000001
C Scheme,Rasoda,"21, Sangram Colony, C Scheme, Jaipur",Quick Bites,300,North Indian,3.8,60,26.911194000000002,75.81271199999998
C Scheme,Samosas N More,"Vivekanand Marg, C Scheme, Jaipur",,300,"Fast Food, North Indian",3.4,71,26.9082561,75.81256490000001
C Scheme,Kiara's Kitchen,"G1, Ground Floor, Vijay City Point, Ahinsa Circle, C Scheme, Jaipur",Quick Bites,450,"North Indian, Fast Food, Beverages",3.5,66,26.914498699999996,75.80552440000001
C Scheme,Desisthan,"F-6 A, Ramesh Marg, Near Style & Scissors, C Scheme, Jaipur",Quick Bites,250,"North Indian, Rajasthani, Beverages",3.4,50,26.9054195,75.7942573
C Scheme,Cafe 11:11,"D-81, 4th Floor, Times Flute Boutique Hotel, Shiv Hira Path, Chomu House, C Scheme, Jaipur",Casual Dining,700,"North Indian, Chinese, South Indian, Fast Food",3.4,40,26.9121913,75.7941699
C Scheme,InstaFit- The Fitness Kitchen,"Kleanfit Iconic, 3rd Floor, Crystal Palm, Near 22 Godam Circle, C Scheme, Jaipur",Quick Bites,600,"Healthy Food, Continental, Seafood",3.7,42,26.903276399999996,75.7927392
C Scheme,Delta Chat & Food,"Ground Floor, Mall 21, Opposite Raj Mandir Cinema, C Scheme, Jaipur",Quick Bites,400,"North Indian, Fast Food, Beverages",3.5,45,26.915498499999998,75.81016389999998
C Scheme,Delta Chat & Food,"Ground Floor, Mall 21, Opposite Raj Mandir Cinema, C Scheme, Jaipur",Quick Bites,400,"North Indian, Fast Food, Beverages",3.5,45,26.915498499999998,75.81016389999998
C Scheme,Pandit Pavbhaji,"C 20, Bhagwant Das Road, C Scheme, Jaipur",Quick Bites,200,"South Indian, Chinese, Fast Food, Street Food",3.4,62,26.915276399999996,75.80982809999998
C Scheme,The Colonnade - SUJÁN Rajmahal Palace Hotel,"SUJÁN Rajmahal Palace Hotel, Sardar Patel Marg, C Scheme, Jaipur",Fine Dining,3000,"Continental, Rajasthani",3.7,26,26.906079100000003,75.7914162
C Scheme,The Socialite Express,"D-52, Unit 2, Trimurty V-Jai City Point, Ashok Marg Ahinsa Circle, C Scheme, Jaipur",Quick Bites,450,"North Indian, Fast Food, Chinese, Beverages",3.9,36,26.9142837,75.80486499999998
C Scheme,Quyu's Taproom,"J 33, 1st Floor, Bagadiya Bhawan, Subhash Marg, C Scheme, Jaipur",Casual Dining,800,"North Indian, Italian, Chinese, Mexican, Continental, Fast Food",,,26.9078233,75.7989502
C Scheme,Biryani & Curries,"Shop S10, Sardar Patel Marg, Opposite Government Press, C Scheme, Jaipur",,600,"North Indian, Rolls, Biryani",3.8,29,26.915025800000002,75.8000838
